GEO_ID,owneroccupied
1400000US18097310103,96.7
1400000US18097310104,55.9
1400000US18097310105,56.2
1400000US18097310106,20.9
1400000US18097310108,86.2
1400000US18097310110,44.3
1400000US18097310111,42.5
1400000US18097310201,61.6
1400000US18097310203,63.5
1400000US18097310204,70.5
1400000US18097310305,38.8
1400000US18097310306,40.8
1400000US18097310308,79.6
1400000US18097310309,28.9
1400000US18097310310,86.7
1400000US18097310311,87.6
1400000US18097310312,43.9
1400000US18097320105,43.4
1400000US18097320106,50.3
1400000US18097320107,91
1400000US18097320108,13.7
1400000US18097320109,87.1
1400000US18097320202,83.7
1400000US18097320203,17.9
1400000US18097320204,15.6
1400000US18097320301,74.4
1400000US18097320303,0.3
1400000US18097320304,63.2
1400000US18097320400,51.1
1400000US18097320500,58.7
1400000US18097320600,67.4
1400000US18097320700,57.2
1400000US18097320800,93.8
1400000US18097320901,64.5
1400000US18097320902,43.7
1400000US18097320903,36.5
1400000US18097321001,83
1400000US18097321002,74.7
1400000US18097321100,71.5
1400000US18097321200,75.4
1400000US18097321300,59.7
1400000US18097321400,60.4
1400000US18097321600,54.8
1400000US18097321700,65.8
1400000US18097321800,76.4
1400000US18097321900,75
1400000US18097322000,51.7
1400000US18097322100,60.5
1400000US18097322200,71.5
1400000US18097322300,55.2
1400000US18097322400,50.5
1400000US18097322500,30.2
1400000US18097322600,30.6
1400000US18097322700,77.8
1400000US18097330103,64.3
1400000US18097330105,36.9
1400000US18097330106,18.6
1400000US18097330107,94.6
1400000US18097330108,94.7
1400000US18097330109,93.1
1400000US18097330202,66.2
1400000US18097330203,94.7
1400000US18097330204,95.5
1400000US18097330206,88.5
1400000US18097330208,85.1
1400000US18097330209,90.9
1400000US18097330401,77.8
1400000US18097330500,70.8
1400000US18097330600,58.8
1400000US18097330700,82.8
1400000US18097330803,26
1400000US18097330804,30.7
1400000US18097330805,27.6
1400000US18097330806,41.1
1400000US18097330900,42.9
1400000US18097331000,78
1400000US18097340101,88.6
1400000US18097340102,15.1
1400000US18097340108,21.1
1400000US18097340109,86
1400000US18097340110,19.1
1400000US18097340111,81.6
1400000US18097340112,33
1400000US18097340113,79.1
1400000US18097340114,89.9
1400000US18097340201,78.2
1400000US18097340202,39.9
1400000US18097340300,43.9
1400000US18097340400,56.2
1400000US18097340500,24.2
1400000US18097340600,58
1400000US18097340700,48.7
1400000US18097340800,90.6
1400000US18097340901,93.5
1400000US18097340902,25.4
1400000US18097341000,78.4
1400000US18097341100,55.2
1400000US18097341200,54.9
1400000US18097341600,52.3
1400000US18097341700,57.5
1400000US18097341902,74.7
1400000US18097341903,12
1400000US18097341904,48.1
1400000US18097342000,96.6
1400000US18097342101,65.8
1400000US18097342200,59.5
1400000US18097342300,60.4
1400000US18097342400,56.9
1400000US18097342500,65.4
1400000US18097342600,50.9
1400000US18097350100,69.3
1400000US18097350300,15.4
1400000US18097350400,39.1
1400000US18097350500,54.2
1400000US18097350600,70.1
1400000US18097350700,53.1
1400000US18097350800,35.4
1400000US18097350900,66.5
1400000US18097351000,38.9
1400000US18097351200,44.8
1400000US18097351500,33.1
1400000US18097351600,54.2
1400000US18097351700,50
1400000US18097351900,65.8
1400000US18097352100,40.8
1400000US18097352300,51.2
1400000US18097352400,55
1400000US18097352500,71.6
1400000US18097352600,39.4
1400000US18097352700,49.9
1400000US18097352800,42.7
1400000US18097353300,15.3
1400000US18097353500,20
1400000US18097353600,49.1
1400000US18097354200,30.3
1400000US18097354400,43.5
1400000US18097354500,35.9
1400000US18097354700,27
1400000US18097354800,40.4
1400000US18097354900,40.9
1400000US18097355000,38.2
1400000US18097355100,34.1
1400000US18097355300,57.8
1400000US18097355400,46.8
1400000US18097355500,78.6
1400000US18097355600,34.3
1400000US18097355700,41.1
1400000US18097355900,45.8
1400000US18097356200,55
1400000US18097356400,44.3
1400000US18097356900,44.1
1400000US18097357000,52.1
1400000US18097357100,45.6
1400000US18097357200,56.1
1400000US18097357300,47.3
1400000US18097357400,56
1400000US18097357500,67.5
1400000US18097357600,63.2
1400000US18097357800,63.4
1400000US18097357900,50.3
1400000US18097358000,62.2
1400000US18097358100,51.1
1400000US18097360101,37.1
1400000US18097360102,49.9
1400000US18097360201,43.7
1400000US18097360202,70.4
1400000US18097360301,69
1400000US18097360302,34.6
1400000US18097360401,25.3
1400000US18097360402,83.1
1400000US18097360404,43.4
