GEO_ID,percentPoverty
1400000US18097310104,11.9
1400000US18097310105,10.1
1400000US18097310106,9.5
1400000US18097310108,4.9
1400000US18097310110,12.2
1400000US18097310111,15.4
1400000US18097310112,4.1
1400000US18097310113,19
1400000US18097310201,11.1
1400000US18097310203,5.7
1400000US18097310204,16.2
1400000US18097310305,11.5
1400000US18097310306,24.2
1400000US18097310308,9.6
1400000US18097310309,11.5
1400000US18097310310,7
1400000US18097310311,13.1
1400000US18097310312,21.8
1400000US18097320105,14.4
1400000US18097320106,12.3
1400000US18097320107,1.6
1400000US18097320108,13.9
1400000US18097320109,13.7
1400000US18097320202,4.6
1400000US18097320203,7.6
1400000US18097320205,7.3
1400000US18097320206,20.3
1400000US18097320301,8.5
1400000US18097320303,10.5
1400000US18097320305,0
1400000US18097320306,6.8
1400000US18097320400,5.4
1400000US18097320500,15.7
1400000US18097320600,9.6
1400000US18097320700,5
1400000US18097320800,2
1400000US18097320901,7.1
1400000US18097320902,24.1
1400000US18097320903,41
1400000US18097321001,14
1400000US18097321002,17.1
1400000US18097321100,10.3
1400000US18097321200,1.5
1400000US18097321300,5.9
1400000US18097321400,6.4
1400000US18097321600,18.9
1400000US18097321700,9.4
1400000US18097321800,3
1400000US18097321900,15.2
1400000US18097322000,22.9
1400000US18097322100,16.5
1400000US18097322200,5.2
1400000US18097322300,6.4
1400000US18097322400,6.2
1400000US18097322500,29.2
1400000US18097322601,57.1
1400000US18097322602,4.8
1400000US18097322700,16.8
1400000US18097330103,10.7
1400000US18097330105,12.5
1400000US18097330106,17.9
1400000US18097330107,7.6
1400000US18097330108,3.1
1400000US18097330109,3.8
1400000US18097330203,0.6
1400000US18097330204,4.8
1400000US18097330206,6.8
1400000US18097330208,1.8
1400000US18097330210,15.6
1400000US18097330211,20.4
1400000US18097330212,9.3
1400000US18097330213,8.5
1400000US18097330401,5.7
1400000US18097330500,16
1400000US18097330600,16.6
1400000US18097330701,8.8
1400000US18097330702,23.1
1400000US18097330803,39.7
1400000US18097330804,28.9
1400000US18097330805,29.8
1400000US18097330806,51.9
1400000US18097330900,26.6
1400000US18097331000,36
1400000US18097340101,14.4
1400000US18097340102,21.9
1400000US18097340108,19.1
1400000US18097340111,5.5
1400000US18097340112,9.8
1400000US18097340113,12.2
1400000US18097340114,4.3
1400000US18097340115,10
1400000US18097340201,23.8
1400000US18097340202,26.2
1400000US18097340301,40.8
1400000US18097340302,43.4
1400000US18097340400,20.7
1400000US18097340500,30.4
1400000US18097340600,22.1
1400000US18097340700,25.4
1400000US18097340800,9.6
1400000US18097340901,5.9
1400000US18097340903,18.2
1400000US18097340904,7.7
1400000US18097341000,3.7
1400000US18097341100,17.7
1400000US18097341200,35.9
1400000US18097341600,40.3
1400000US18097341701,46.1
1400000US18097341702,10.9
1400000US18097341902,12.9
1400000US18097341903,24.8
1400000US18097341904,20
1400000US18097342000,9.7
1400000US18097342101,19.4
