GEO_ID,NAME,S2201_C04_001E
Geography,Geographic Area Name,Estimate!!Percent households receiving food stamps/SNAP!!Households
1400000US18097310104,"Census Tract 3101.04, Marion County, Indiana",10
1400000US18097310105,"Census Tract 3101.05, Marion County, Indiana",16.2
1400000US18097310106,"Census Tract 3101.06, Marion County, Indiana",6.3
1400000US18097310108,"Census Tract 3101.08, Marion County, Indiana",1.8
1400000US18097310110,"Census Tract 3101.10, Marion County, Indiana",5.1
1400000US18097310111,"Census Tract 3101.11, Marion County, Indiana",9.2
1400000US18097310112,"Census Tract 3101.12, Marion County, Indiana",1.1
1400000US18097310113,"Census Tract 3101.13, Marion County, Indiana",0
1400000US18097310201,"Census Tract 3102.01, Marion County, Indiana",7
1400000US18097310203,"Census Tract 3102.03, Marion County, Indiana",6
1400000US18097310204,"Census Tract 3102.04, Marion County, Indiana",19.7
1400000US18097310305,"Census Tract 3103.05, Marion County, Indiana",13.8
1400000US18097310306,"Census Tract 3103.06, Marion County, Indiana",31.1
1400000US18097310308,"Census Tract 3103.08, Marion County, Indiana",8
1400000US18097310309,"Census Tract 3103.09, Marion County, Indiana",21.2
1400000US18097310310,"Census Tract 3103.10, Marion County, Indiana",7.2
1400000US18097310311,"Census Tract 3103.11, Marion County, Indiana",8.7
1400000US18097310312,"Census Tract 3103.12, Marion County, Indiana",4
1400000US18097320105,"Census Tract 3201.05, Marion County, Indiana",8.3
1400000US18097320106,"Census Tract 3201.06, Marion County, Indiana",2.2
1400000US18097320107,"Census Tract 3201.07, Marion County, Indiana",0.4
1400000US18097320108,"Census Tract 3201.08, Marion County, Indiana",15.1
1400000US18097320109,"Census Tract 3201.09, Marion County, Indiana",11.8
1400000US18097320202,"Census Tract 3202.02, Marion County, Indiana",0
1400000US18097320203,"Census Tract 3202.03, Marion County, Indiana",6.2
1400000US18097320205,"Census Tract 3202.05, Marion County, Indiana",2.6
1400000US18097320206,"Census Tract 3202.06, Marion County, Indiana",31.3
1400000US18097320301,"Census Tract 3203.01, Marion County, Indiana",0
1400000US18097320303,"Census Tract 3203.03, Marion County, Indiana",2.2
1400000US18097320305,"Census Tract 3203.05, Marion County, Indiana",0
1400000US18097320306,"Census Tract 3203.06, Marion County, Indiana",0
1400000US18097320400,"Census Tract 3204, Marion County, Indiana",1.5
1400000US18097320500,"Census Tract 3205, Marion County, Indiana",8.2
1400000US18097320600,"Census Tract 3206, Marion County, Indiana",5.2
1400000US18097320700,"Census Tract 3207, Marion County, Indiana",0
1400000US18097320800,"Census Tract 3208, Marion County, Indiana",0
1400000US18097320901,"Census Tract 3209.01, Marion County, Indiana",3.9
1400000US18097320902,"Census Tract 3209.02, Marion County, Indiana",17.3
1400000US18097320903,"Census Tract 3209.03, Marion County, Indiana",10.9
1400000US18097321001,"Census Tract 3210.01, Marion County, Indiana",7.7
1400000US18097321002,"Census Tract 3210.02, Marion County, Indiana",3.7
1400000US18097321100,"Census Tract 3211, Marion County, Indiana",7.7
1400000US18097321200,"Census Tract 3212, Marion County, Indiana",0.8
1400000US18097321300,"Census Tract 3213, Marion County, Indiana",0
1400000US18097321400,"Census Tract 3214, Marion County, Indiana",1.1
1400000US18097321600,"Census Tract 3216, Marion County, Indiana",7.2
1400000US18097321700,"Census Tract 3217, Marion County, Indiana",0
1400000US18097321800,"Census Tract 3218, Marion County, Indiana",1.2
1400000US18097321900,"Census Tract 3219, Marion County, Indiana",1
1400000US18097322000,"Census Tract 3220, Marion County, Indiana",13.9
1400000US18097322100,"Census Tract 3221, Marion County, Indiana",2.9
1400000US18097322200,"Census Tract 3222, Marion County, Indiana",1.1
1400000US18097322300,"Census Tract 3223, Marion County, Indiana",1.7
1400000US18097322400,"Census Tract 3224, Marion County, Indiana",2.5
1400000US18097322500,"Census Tract 3225, Marion County, Indiana",12.8
1400000US18097322601,"Census Tract 3226.01, Marion County, Indiana",55.8
1400000US18097322602,"Census Tract 3226.02, Marion County, Indiana",5.3
1400000US18097322700,"Census Tract 3227, Marion County, Indiana",16
1400000US18097330103,"Census Tract 3301.03, Marion County, Indiana",1
1400000US18097330105,"Census Tract 3301.05, Marion County, Indiana",11.3
1400000US18097330106,"Census Tract 3301.06, Marion County, Indiana",3.8
1400000US18097330107,"Census Tract 3301.07, Marion County, Indiana",0.5
1400000US18097330108,"Census Tract 3301.08, Marion County, Indiana",1
1400000US18097330109,"Census Tract 3301.09, Marion County, Indiana",0
1400000US18097330203,"Census Tract 3302.03, Marion County, Indiana",1.1
1400000US18097330204,"Census Tract 3302.04, Marion County, Indiana",1.1
1400000US18097330206,"Census Tract 3302.06, Marion County, Indiana",1.2
1400000US18097330208,"Census Tract 3302.08, Marion County, Indiana",1.3
1400000US18097330210,"Census Tract 3302.10, Marion County, Indiana",8.3
1400000US18097330211,"Census Tract 3302.11, Marion County, Indiana",33
1400000US18097330212,"Census Tract 3302.12, Marion County, Indiana",13.7
1400000US18097330213,"Census Tract 3302.13, Marion County, Indiana",1.2
