GEO_ID,mobility100percent,,,,,,
1400000US18097310104,360,,,,,,
1400000US18097310105,385,,,,,,
1400000US18097310106,391,,,,,,
1400000US18097310108,182,,,,,,
1400000US18097310110,328,,,,,,
1400000US18097310111,501,,,,,,
1400000US18097310112,293,,,,,,
1400000US18097310113,175,,,,,,
1400000US18097310201,472,,,,,,
1400000US18097310203,289,,,,,,
1400000US18097310204,855,,,,,,
1400000US18097310305,576,,,,,,
1400000US18097310306,1763,,,,,,
1400000US18097310308,310,,,,,,
1400000US18097310309,420,,,,,,
1400000US18097310310,375,,,,,,
1400000US18097310311,889,,,,,,
1400000US18097310312,1369,,,,,,
1400000US18097320105,538,,,,,,
1400000US18097320106,446,,,,,,
1400000US18097320107,34,,,,,,
1400000US18097320108,661,,,,,,
1400000US18097320109,347,,,,,,
1400000US18097320202,227,,,,,,
1400000US18097320203,194,,,,,,
1400000US18097320205,155,,,,,,
1400000US18097320206,686,,,,,,
1400000US18097320301,309,,,,,,
1400000US18097320303,338,,,,,,
1400000US18097320305,0,,,,,,
1400000US18097320306,269,,,,,,
1400000US18097320400,159,,,,,,
1400000US18097320500,503,,,,,,
1400000US18097320600,225,,,,,,
1400000US18097320700,102,,,,,,
1400000US18097320800,58,,,,,,
1400000US18097320901,454,,,,,,
1400000US18097320902,921,,,,,,
1400000US18097320903,2462,,,,,,
1400000US18097321001,424,,,,,,
1400000US18097321002,811,,,,,,
1400000US18097321100,368,,,,,,
1400000US18097321200,75,,,,,,
1400000US18097321300,163,,,,,,
1400000US18097321400,332,,,,,,
1400000US18097321600,1136,,,,,,
1400000US18097321700,377,,,,,,
1400000US18097321800,103,,,,,,
1400000US18097321900,519,,,,,,
1400000US18097322000,735,,,,,,
1400000US18097322100,501,,,,,,
1400000US18097322200,116,,,,,,
1400000US18097322300,154,,,,,,
1400000US18097322400,173,,,,,,
1400000US18097322500,456,,,,,,
1400000US18097322601,1240,,,,,,
1400000US18097322602,82,,,,,,
1400000US18097322700,284,,,,,,
1400000US18097330103,469,,,,,,
1400000US18097330105,587,,,,,,
1400000US18097330106,724,,,,,,
1400000US18097330107,413,,,,,,
1400000US18097330108,133,,,,,,
1400000US18097330109,190,,,,,,
1400000US18097330203,33,,,,,,
1400000US18097330204,347,,,,,,
1400000US18097330206,361,,,,,,
1400000US18097330208,50,,,,,,
1400000US18097330210,1037,,,,,,
1400000US18097330211,997,,,,,,
1400000US18097330212,445,,,,,,
1400000US18097330213,379,,,,,,
1400000US18097330401,351,,,,,,
1400000US18097330500,1029,,,,,,
1400000US18097330600,1174,,,,,,
1400000US18097330701,183,,,,,,
1400000US18097330702,840,,,,,,
1400000US18097330803,1379,,,,,,
1400000US18097330804,885,,,,,,
1400000US18097330805,659,,,,,,
1400000US18097330806,2366,,,,,,
1400000US18097330900,1638,,,,,,
1400000US18097331000,1387,,,,,,
1400000US18097340101,715,,,,,,
1400000US18097340102,741,,,,,,
1400000US18097340108,446,,,,,,
1400000US18097340111,155,,,,,,
1400000US18097340112,415,,,,,,
1400000US18097340113,505,,,,,,
1400000US18097340114,168,,,,,,
1400000US18097340115,593,,,,,,
1400000US18097340201,823,,,,,,
1400000US18097340202,1054,,,,,,
1400000US18097340301,1536,,,,,,
1400000US18097340302,2076,,,,,,
1400000US18097340400,771,,,,,,
1400000US18097340500,1598,,,,,,
1400000US18097340600,1135,,,,,,
1400000US18097340700,1197,,,,,,
1400000US18097340800,156,,,,,,
1400000US18097340901,210,,,,,,
1400000US18097340903,275,,,,,,
1400000US18097340904,363,,,,,,
1400000US18097341000,53,,,,,,
1400000US18097341100,381,,,,,,
1400000US18097341200,919,,,,,,
1400000US18097341600,760,,,,,,
1400000US18097341701,1290,,,,,,
1400000US18097341702,248,,,,,,
1400000US18097341902,455,,,,,,
1400000US18097341903,1404,,,,,,
1400000US18097341904,395,,,,,,
1400000US18097342000,637,,,,,,
1400000US18097342101,1076,,,,,,
1400000US18097342200,1335,,,,,,
1400000US18097342300,1121,,,,,,
1400000US18097342400,393,,,,,,
1400000US18097342500,1036,,,,,,
1400000US18097342600,1237,,,,,,
1400000US18097350100,74,,,,,,
1400000US18097350300,870,,,,,,
1400000US18097350400,395,,,,,,
1400000US18097350500,832,,,,,,
1400000US18097350600,1581,,,,,,
1400000US18097350700,528,,,,,,
1400000US18097350800,476,,,,,,
1400000US18097350900,183,,,,,,
1400000US18097351000,973,,,,,,
1400000US18097351200,923,,,,,,
1400000US18097351500,387,,,,,,
1400000US18097351600,276,,,,,,
1400000US18097351700,339,,,,,,
1400000US18097351900,408,,,,,,
1400000US18097352100,761,,,,,,
1400000US18097352300,251,,,,,,
1400000US18097352400,635,,,,,,
1400000US18097352500,654,,,,,,
1400000US18097352600,1417,,,,,,
1400000US18097352700,480,,,,,,
1400000US18097352800,369,,,,,,
1400000US18097353300,338,,,,,,
1400000US18097353500,965,,,,,,
1400000US18097353600,793,,,,,,
1400000US18097354201,756,,,,,,
1400000US18097354202,379,,,,,,
1400000US18097354400,188,,,,,,
1400000US18097354500,563,,,,,,
1400000US18097354700,520,,,,,,
1400000US18097354800,533,,,,,,
1400000US18097354900,1024,,,,,,
1400000US18097355000,917,,,,,,
1400000US18097355100,1218,,,,,,
1400000US18097355300,747,,,,,,
1400000US18097355400,994,,,,,,
1400000US18097355500,655,,,,,,
1400000US18097355600,647,,,,,,
1400000US18097355700,567,,,,,,
1400000US18097355900,238,,,,,,
1400000US18097356200,144,,,,,,
1400000US18097356400,1395,,,,,,
1400000US18097356900,496,,,,,,
1400000US18097357000,522,,,,,,
1400000US18097357100,396,,,,,,
1400000US18097357200,483,,,,,,
1400000US18097357300,852,,,,,,
1400000US18097357400,1612,,,,,,
1400000US18097357500,406,,,,,,
1400000US18097357601,1178,,,,,,
1400000US18097357602,241,,,,,,
1400000US18097357800,339,,,,,,
1400000US18097357900,356,,,,,,
1400000US18097358000,458,,,,,,
1400000US18097358100,641,,,,,,
1400000US18097360101,721,,,,,,
1400000US18097360102,581,,,,,,
1400000US18097360201,893,,,,,,
1400000US18097360202,915,,,,,,
1400000US18097360301,548,,,,,,
1400000US18097360302,1413,,,,,,
1400000US18097360401,1732,,,,,,
1400000US18097360402,1503,,,,,,
1400000US18097360405,822,,,,,,
1400000US18097360406,782,,,,,,
1400000US18097360407,267,,,,,,
1400000US18097360501,460,,,,,,
1400000US18097360502,606,,,,,,
1400000US18097360601,729,,,,,,
1400000US18097360602,1162,,,,,,
1400000US18097360700,193,,,,,,
1400000US18097360800,401,,,,,,
1400000US18097360900,1503,,,,,,
1400000US18097361000,88,,,,,,
1400000US18097361100,373,,,,,,
1400000US18097361200,364,,,,,,
1400000US18097361300,156,,,,,,
1400000US18097361401,254,,,,,,
1400000US18097361402,990,,,,,,
1400000US18097361601,84,,,,,,
1400000US18097361602,43,,,,,,
1400000US18097370201,448,,,,,,
1400000US18097370203,1414,,,,,,
1400000US18097370204,389,,,,,,
1400000US18097370303,952,,,,,,
1400000US18097370304,203,,,,,,
1400000US18097370305,221,,,,,,
1400000US18097370306,422,,,,,,
1400000US18097380101,657,,,,,,
1400000US18097380102,1955,,,,,,
1400000US18097380103,620,,,,,,
